secid,date,days,volatility,ticker,index_flag
107525,20130408,60,0.107123,MSFT,0
107525,20130408,91,0.122311,MSFT,0
107525,20130408,122,0.151147,MSFT,0
107525,20130408,152,0.165879,MSFT,0
107525,20130408,182,0.178001,MSFT,0
107525,20130408,273,0.179369,MSFT,0
107525,20130408,365,0.193418,MSFT,0
107525,20130408,547,0.199242,MSFT,0
107525,20130408,730,0.218446,MSFT,0
107525,20130408,1825,0.315119,MSFT,0
107525,20130409,10,0.224694,MSFT,0
107525,20130409,14,0.195733,MSFT,0
107525,20130409,30,0.140717,MSFT,0
107525,20130409,60,0.135092,MSFT,0
107525,20130409,91,0.139287,MSFT,0
107525,20130409,122,0.161601,MSFT,0
107525,20130409,152,0.174119,MSFT,0
107525,20130409,182,0.183421,MSFT,0
107525,20130409,273,0.183701,MSFT,0
107525,20130409,365,0.196187,MSFT,0
107525,20130409,547,0.200171,MSFT,0
107525,20130409,730,0.219616,MSFT,0
107525,20130409,1825,0.31549,MSFT,0
107525,20130410,10,0.229909,MSFT,0
107525,20130410,14,0.215144,MSFT,0
107525,20130410,30,0.153574,MSFT,0
107525,20130410,60,0.142631,MSFT,0
107525,20130410,91,0.145113,MSFT,0
107525,20130410,122,0.164691,MSFT,0
107525,20130410,152,0.177502,MSFT,0
107525,20130410,182,0.185515,MSFT,0
107525,20130410,273,0.184675,MSFT,0
107525,20130410,365,0.196396,MSFT,0
107525,20130410,547,0.200979,MSFT,0
107525,20130410,730,0.220081,MSFT,0
107525,20130410,1825,0.315379,MSFT,0
107525,20130411,10,0.37573,MSFT,0
107525,20130411,14,0.351524,MSFT,0
107525,20130411,30,0.230037,MSFT,0
107525,20130411,60,0.183402,MSFT,0
107525,20130411,91,0.172658,MSFT,0
107525,20130411,122,0.181598,MSFT,0
107525,20130411,152,0.19077,MSFT,0
107525,20130411,182,0.196904,MSFT,0
107525,20130411,273,0.19027,MSFT,0
107525,20130411,365,0.201605,MSFT,0
107525,20130411,547,0.204469,MSFT,0
107525,20130411,730,0.222263,MSFT,0
107525,20130411,1825,0.315913,MSFT,0
107525,20130412,10,0.375604,MSFT,0
107525,20130412,14,0.332925,MSFT,0
107525,20130412,30,0.231178,MSFT,0
107525,20130412,60,0.18236,MSFT,0
107525,20130412,91,0.171291,MSFT,0
107525,20130412,122,0.180419,MSFT,0
107525,20130412,152,0.190015,MSFT,0
107525,20130412,182,0.196657,MSFT,0
107525,20130412,273,0.187911,MSFT,0
107525,20130412,365,0.20059,MSFT,0
107525,20130412,547,0.204414,MSFT,0
107525,20130412,730,0.222295,MSFT,0
107525,20130412,1825,0.315795,MSFT,0
107525,20130415,10,0.44027,MSFT,0
107525,20130415,14,0.333574,MSFT,0
107525,20130415,30,0.235964,MSFT,0
107525,20130415,60,0.186952,MSFT,0
107525,20130415,91,0.171545,MSFT,0
107525,20130415,122,0.181187,MSFT,0
107525,20130415,152,0.180944,MSFT,0
107525,20130415,182,0.196124,MSFT,0
107525,20130415,273,0.187944,MSFT,0
107525,20130415,365,0.20055,MSFT,0
107525,20130415,547,0.204422,MSFT,0
107525,20130415,730,0.222445,MSFT,0
107525,20130415,1825,0.315828,MSFT,0
107525,20130416,10,0.406162,MSFT,0
107525,20130416,14,0.335576,MSFT,0
107525,20130416,30,0.231892,MSFT,0
107525,20130416,60,0.188218,MSFT,0
107525,20130416,91,0.171054,MSFT,0
107525,20130416,122,0.180721,MSFT,0
107525,20130416,152,0.181101,MSFT,0
107525,20130416,182,0.196628,MSFT,0
107525,20130416,273,0.188085,MSFT,0
107525,20130416,365,0.200604,MSFT,0
107525,20130416,547,0.20437,MSFT,0
107525,20130416,730,0.222322,MSFT,0
107525,20130416,1825,0.315831,MSFT,0
107525,20130417,10,0.377721,MSFT,0
107525,20130417,14,0.333487,MSFT,0
107525,20130417,30,0.232981,MSFT,0
107525,20130417,60,0.186458,MSFT,0
107525,20130417,91,0.170849,MSFT,0
107525,20130417,122,0.179926,MSFT,0
107525,20130417,152,0.181081,MSFT,0
107525,20130417,182,0.196697,MSFT,0
107525,20130417,273,0.185639,MSFT,0
107525,20130417,365,0.200307,MSFT,0
107525,20130417,547,0.204183,MSFT,0
107525,20130417,730,0.222195,MSFT,0
107525,20130417,1825,0.31562,MSFT,0
107525,20130418,10,0.376911,MSFT,0
107525,20130418,14,0.33365,MSFT,0
107525,20130418,30,0.233047,MSFT,0
107525,20130418,60,0.184243,MSFT,0
107525,20130418,91,0.170379,MSFT,0
107525,20130418,122,0.179163,MSFT,0
107525,20130418,152,0.180221,MSFT,0
107525,20130418,182,0.196651,MSFT,0
107525,20130418,273,0.185451,MSFT,0
107525,20130418,365,0.200087,MSFT,0
107525,20130418,547,0.204108,MSFT,0
107525,20130418,730,0.222191,MSFT,0
107525,20130418,1825,0.315494,MSFT,0
107525,20130419,10,0.371283,MSFT,0
107525,20130419,14,0.372044,MSFT,0
107525,20130419,30,0.258415,MSFT,0
107525,20130419,60,0.198269,MSFT,0
107525,20130419,91,0.182365,MSFT,0
107525,20130419,122,0.185811,MSFT,0
107525,20130419,152,0.186313,MSFT,0
107525,20130419,182,0.19781,MSFT,0
107525,20130419,273,0.188328,MSFT,0
107525,20130419,365,0.202852,MSFT,0
107525,20130419,547,0.205879,MSFT,0
107525,20130419,730,0.222789,MSFT,0
107525,20130419,1825,0.31572,MSFT,0
107525,20130422,10,0.292458,MSFT,0
107525,20130422,14,0.400492,MSFT,0
107525,20130422,30,0.286648,MSFT,0
107525,20130422,60,0.213882,MSFT,0
107525,20130422,91,0.192967,MSFT,0
107525,20130422,122,0.194692,MSFT,0
107525,20130422,152,0.194937,MSFT,0
107525,20130422,182,0.201179,MSFT,0
107525,20130422,273,0.189826,MSFT,0
