secid,date,cp_flag,index_flag,ticker,volume,open_interest
107525,20121106,P,0,MSFT,72833,1595027
107525,20121107,,0,MSFT,180115,4023581
107525,20121107,C,0,MSFT,90858,2412489
107525,20121107,P,0,MSFT,89257,1611092
107525,20121108,,0,MSFT,120012,4066103
107525,20121108,C,0,MSFT,66886,2424265
107525,20121108,P,0,MSFT,53126,1641838
107525,20121109,,0,MSFT,116116,4083929
107525,20121109,C,0,MSFT,78729,2429508
107525,20121109,P,0,MSFT,37387,1654421
107525,20121112,,0,MSFT,1290260,4049872
107525,20121112,C,0,MSFT,1221180,2415814
107525,20121112,P,0,MSFT,69080,1634058
107525,20121113,,0,MSFT,606114,4077806
107525,20121113,C,0,MSFT,378006,2421626
107525,20121113,P,0,MSFT,228108,1656180
107525,20121114,,0,MSFT,151738,4096703
107525,20121114,C,0,MSFT,74137,2442214
107525,20121114,P,0,MSFT,77601,1654489
107525,20121115,,0,MSFT,131810,4124715
107525,20121115,C,0,MSFT,67484,2449747
107525,20121115,P,0,MSFT,64326,1674968
107525,20121116,,0,MSFT,208479,4145481
107525,20121116,C,0,MSFT,90668,2466337
107525,20121116,P,0,MSFT,117811,1679144
107525,20121119,,0,MSFT,170069,3679417
107525,20121119,C,0,MSFT,135269,2169988
107525,20121119,P,0,MSFT,34800,1509429
107525,20121120,,0,MSFT,105550,3726298
107525,20121120,C,0,MSFT,62855,2217084
107525,20121120,P,0,MSFT,42695,1509214
107525,20121121,,0,MSFT,189628,3741702
107525,20121121,C,0,MSFT,133640,2217108
107525,20121121,P,0,MSFT,55988,1524594
107525,20121123,,0,MSFT,120453,3783375
107525,20121123,C,0,MSFT,73775,2245732
107525,20121123,P,0,MSFT,46678,1537643
107525,20121126,,0,MSFT,90130,3782796
107525,20121126,C,0,MSFT,58837,2244164
107525,20121126,P,0,MSFT,31293,1538632
107525,20121127,,0,MSFT,131159,3782105
107525,20121127,C,0,MSFT,68603,2229152
107525,20121127,P,0,MSFT,62556,1552953
107525,20121128,,0,MSFT,113997,3825302
107525,20121128,C,0,MSFT,69617,2259410
107525,20121128,P,0,MSFT,44380,1565892
107525,20121129,,0,MSFT,265302,3834768
107525,20121129,C,0,MSFT,98985,2274219
107525,20121129,P,0,MSFT,166317,1560549
107525,20121130,,0,MSFT,211825,3915833
107525,20121130,C,0,MSFT,115030,2300291
107525,20121130,P,0,MSFT,96795,1615542
107525,20121203,,0,MSFT,185192,3918195
107525,20121203,C,0,MSFT,135137,2308975
107525,20121203,P,0,MSFT,50055,1609220
107525,20121204,,0,MSFT,138992,3936719
107525,20121204,C,0,MSFT,66598,2321257
107525,20121204,P,0,MSFT,72394,1615462
107525,20121205,,0,MSFT,149034,3949312
107525,20121205,C,0,MSFT,110991,2338423
107525,20121205,P,0,MSFT,38043,1610889
107525,20121206,,0,MSFT,83416,3957614
107525,20121206,C,0,MSFT,43412,2355517
107525,20121206,P,0,MSFT,40004,1602097
107525,20121207,,0,MSFT,90842,3961367
107525,20121207,C,0,MSFT,55012,2358909
107525,20121207,P,0,MSFT,35830,1602458
107525,20121210,,0,MSFT,206465,3941673
107525,20121210,C,0,MSFT,155438,2344729
107525,20121210,P,0,MSFT,51027,1596944
107525,20121211,,0,MSFT,145441,3973596
107525,20121211,C,0,MSFT,86652,2364697
107525,20121211,P,0,MSFT,58789,1608899
107525,20121212,,0,MSFT,86915,3984930
107525,20121212,C,0,MSFT,66597,2372286
107525,20121212,P,0,MSFT,20318,1612644
107525,20121213,,0,MSFT,106141,3993074
107525,20121213,C,0,MSFT,74170,2375152
107525,20121213,P,0,MSFT,31971,1617922
107525,20121214,,0,MSFT,50767,4034520
107525,20121214,C,0,MSFT,33981,2410398
107525,20121214,P,0,MSFT,16786,1624122
107525,20121217,,0,MSFT,109566,4012283
107525,20121217,C,0,MSFT,71425,2399463
107525,20121217,P,0,MSFT,38141,1612820
107525,20121218,,0,MSFT,223503,4039307
107525,20121218,C,0,MSFT,190589,2421359
107525,20121218,P,0,MSFT,32914,1617948
107525,20121219,,0,MSFT,129753,4154266
107525,20121219,C,0,MSFT,102796,2541304
107525,20121219,P,0,MSFT,26957,1612962
107525,20121220,,0,MSFT,104059,4180317
107525,20121220,C,0,MSFT,73427,2564566
107525,20121220,P,0,MSFT,30632,1615751
107525,20121221,,0,MSFT,167519,4197372
107525,20121221,C,0,MSFT,90599,2576551
107525,20121221,P,0,MSFT,76920,1620821
107525,20121224,,0,MSFT,90881,3693320
107525,20121224,C,0,MSFT,54168,2201401
107525,20121224,P,0,MSFT,36713,1491919
107525,20121226,,0,MSFT,119088,3722269
107525,20121226,C,0,MSFT,70732,2220189
107525,20121226,P,0,MSFT,48356,1502080
107525,20121227,,0,MSFT,119916,3755860
107525,20121227,C,0,MSFT,76546,2241351
107525,20121227,P,0,MSFT,43370,1514509
107525,20121228,,0,MSFT,106385,3797175
107525,20121228,C,0,MSFT,58615,2269537
107525,20121228,P,0,MSFT,47770,1527638
107525,20121231,,0,MSFT,99227,3797757
107525,20121231,C,0,MSFT,57915,2264080
107525,20121231,P,0,MSFT,41312,1533677
107525,20130102,,0,MSFT,140905,3810881
107525,20130102,C,0,MSFT,96386,2271922
107525,20130102,P,0,MSFT,44519,1538959
107525,20130103,,0,MSFT,143580,3830689
107525,20130103,C,0,MSFT,82040,2283848
107525,20130103,P,0,MSFT,61540,1546841
107525,20130104,,0,MSFT,176004,3866607
107525,20130104,C,0,MSFT,112303,2309680
107525,20130104,P,0,MSFT,63701,1556927
107525,20130107,,0,MSFT,82761,3892276
107525,20130107,C,0,MSFT,54828,2331592
107525,20130107,P,0,MSFT,27933,1560684
107525,20130108,,0,MSFT,144258,3924496
107525,20130108,C,0,MSFT,74141,2354798
107525,20130108,P,0,MSFT,70117,1569698
107525,20130109,,0,MSFT,95577,3999655
107525,20130109,C,0,MSFT,46789,2393415
107525,20130109,P,0,MSFT,48788,1606240
107525,20130110,,0,MSFT,187275,4015525
107525,20130110,C,0,MSFT,107233,2408642
107525,20130110,P,0,MSFT,80042,1606883
107525,20130111,,0,MSFT,158519,4064647
107525,20130111,C,0,MSFT,72782,2439963
107525,20130111,P,0,MSFT,85737,1624684
107525,20130114,,0,MSFT,129835,4041249
107525,20130114,C,0,MSFT,94700,2433114
107525,20130114,P,0,MSFT,35135,1608135
107525,20130115,,0,MSFT,197842,4073473
107525,20130115,C,0,MSFT,150026,2459728
107525,20130115,P,0,MSFT,47816,1613745
107525,20130116,,0,MSFT,120334,4110166
107525,20130116,C,0,MSFT,48532,2487164
107525,20130116,P,0,MSFT,71802,1623002
107525,20130117,,0,MSFT,156517,4141603
107525,20130117,C,0,MSFT,92809,2494348
107525,20130117,P,0,MSFT,63708,1647255
107525,20130118,,0,MSFT,154819,4181001
107525,20130118,C,0,MSFT,107786,2508140
107525,20130118,P,0,MSFT,47033,1672861
107525,20130122,,0,MSFT,167506,2261153
107525,20130122,C,0,MSFT,97117,1445097
107525,20130122,P,0,MSFT,70389,816056
107525,20130123,,0,MSFT,145759,2354435
107525,20130123,C,0,MSFT,99994,1499178
107525,20130123,P,0,MSFT,45765,855257
107525,20130124,,0,MSFT,598043,2399829
107525,20130124,C,0,MSFT,351459,1539650
107525,20130124,P,0,MSFT,246584,860179
107525,20130125,,0,MSFT,375578,2679262
107525,20130125,C,0,MSFT,220677,1683798
107525,20130125,P,0,MSFT,154901,995464
107525,20130128,,0,MSFT,199676,2591076
107525,20130128,C,0,MSFT,126345,1637687
107525,20130128,P,0,MSFT,73331,953389
107525,20130129,,0,MSFT,127111,2647491
107525,20130129,C,0,MSFT,70200,1677088
107525,20130129,P,0,MSFT,56911,970403
107525,20130130,,0,MSFT,78877,2687185
107525,20130130,C,0,MSFT,38673,1698753
107525,20130130,P,0,MSFT,40204,988432
107525,20130131,,0,MSFT,118553,2716789
107525,20130131,C,0,MSFT,61178,1707443
107525,20130131,P,0,MSFT,57375,1009346
107525,20130201,,0,MSFT,111588,2754504
107525,20130201,C,0,MSFT,70310,1726720
107525,20130201,P,0,MSFT,41278,1027784
107525,20130204,,0,MSFT,106415,2745541
107525,20130204,C,0,MSFT,52902,1717103
107525,20130204,P,0,MSFT,53513,1028438
107525,20130205,,0,MSFT,81980,2779934
107525,20130205,C,0,MSFT,53970,1737997
107525,20130205,P,0,MSFT,28010,1041937
107525,20130206,,0,MSFT,78914,2812108
107525,20130206,C,0,MSFT,49001,1764025
107525,20130206,P,0,MSFT,29913,1048083
107525,20130207,,0,MSFT,91577,2829795
107525,20130207,C,0,MSFT,62349,1775495
107525,20130207,P,0,MSFT,29228,1054300
107525,20130208,,0,MSFT,97825,2868639
107525,20130208,C,0,MSFT,67732,1803281
107525,20130208,P,0,MSFT,30093,1065358
107525,20130211,,0,MSFT,90323,2875597
107525,20130211,C,0,MSFT,66304,1814589
107525,20130211,P,0,MSFT,24019,1061008
107525,20130212,,0,MSFT,100340,2906988
107525,20130212,C,0,MSFT,67257,1837404
107525,20130212,P,0,MSFT,33083,1069584
107525,20130213,,0,MSFT,127792,2942861
107525,20130213,C,0,MSFT,81414,1866640
107525,20130213,P,0,MSFT,46378,1076221
107525,20130214,,0,MSFT,84377,2939456
107525,20130214,C,0,MSFT,53812,1884417
107525,20130214,P,0,MSFT,30565,1055039
107525,20130215,,0,MSFT,900406,2954714
107525,20130215,C,0,MSFT,849861,1889005
107525,20130215,P,0,MSFT,50545,1065709
107525,20130219,,0,MSFT,98760,2630478
107525,20130219,C,0,MSFT,68479,1685127
107525,20130219,P,0,MSFT,30281,945351
107525,20130220,,0,MSFT,118788,2668566
107525,20130220,C,0,MSFT,69434,1711668
107525,20130220,P,0,MSFT,49354,956898
107525,20130221,,0,MSFT,112373,2712832
107525,20130221,C,0,MSFT,66035,1741953
107525,20130221,P,0,MSFT,46338,970879
107525,20130222,,0,MSFT,90537,2734567
107525,20130222,C,0,MSFT,52755,1759413
107525,20130222,P,0,MSFT,37782,975154
107525,20130225,,0,MSFT,113849,2723175
107525,20130225,C,0,MSFT,60968,1765634
107525,20130225,P,0,MSFT,52881,957541
107525,20130226,,0,MSFT,56406,2758593
107525,20130226,C,0,MSFT,35050,1782269
107525,20130226,P,0,MSFT,21356,976324
107525,20130227,,0,MSFT,112732,2771279
107525,20130227,C,0,MSFT,80720,1791171
107525,20130227,P,0,MSFT,32012,980108
107525,20130228,,0,MSFT,63909,2805552
107525,20130228,C,0,MSFT,39505,1814853
107525,20130228,P,0,MSFT,24404,990699
107525,20130301,,0,MSFT,114009,2812470
107525,20130301,C,0,MSFT,82047,1819718
107525,20130301,P,0,MSFT,31962,992752
107525,20130304,,0,MSFT,115592,2822381
107525,20130304,C,0,MSFT,75956,1830352
107525,20130304,P,0,MSFT,39636,992029
107525,20130305,,0,MSFT,151167,2872816
107525,20130305,C,0,MSFT,98493,1862040
107525,20130305,P,0,MSFT,52674,1010776
107525,20130306,,0,MSFT,102379,2892652
107525,20130306,C,0,MSFT,68573,1865856
107525,20130306,P,0,MSFT,33806,1026796
107525,20130307,,0,MSFT,50331,2902824
107525,20130307,C,0,MSFT,32283,1865126
107525,20130307,P,0,MSFT,18048,1037698
107525,20130308,,0,MSFT,73130,2920645
107525,20130308,C,0,MSFT,36441,1875737
107525,20130308,P,0,MSFT,36689,1044908
107525,20130311,,0,MSFT,71943,2895681
107525,20130311,C,0,MSFT,40903,1858617
107525,20130311,P,0,MSFT,31040,1037064
107525,20130312,,0,MSFT,70593,2918416
107525,20130312,C,0,MSFT,46839,1867125
107525,20130312,P,0,MSFT,23754,1051291
107525,20130313,,0,MSFT,80633,2936145
107525,20130313,C,0,MSFT,59204,1882118
107525,20130313,P,0,MSFT,21429,1054027
107525,20130314,,0,MSFT,79533,2945435
107525,20130314,C,0,MSFT,57014,1899031
107525,20130314,P,0,MSFT,22519,1046404
107525,20130315,,0,MSFT,116256,2965858
107525,20130315,C,0,MSFT,81255,1913107
107525,20130315,P,0,MSFT,35001,1052751
107525,20130318,,0,MSFT,84126,2626107
107525,20130318,C,0,MSFT,55184,1715031
107525,20130318,P,0,MSFT,28942,911076
107525,20130319,,0,MSFT,109497,2666473
107525,20130319,C,0,MSFT,78560,1743369
