secid,date,days,delta,impl_volatility,impl_strike,impl_premium,dispersion,cp_flag,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group
108105,20130801,152,20,0.118015,1810.599,14.03659,0.005293,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,25,0.121164,1790.321,19.20427,0.005424,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,30,0.12436,1771.518,25.09234,0.005621,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,35,0.127697,1753.485,31.79222,0.005889,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,40,0.131268,1735.716,39.43223,0.006276,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,45,0.135162,1717.784,48.18225,0.00675,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,50,0.139334,1699.263,58.213,0.007207,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,55,0.143668,1679.771,69.70143,0.007843,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,60,0.148537,1658.882,83.11266,0.009143,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,65,0.154809,1635.743,99.41055,0.010817,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,70,0.162152,1609.445,119.1911,0.011667,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,75,0.16891,1579.794,142.2244,0.011897,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,152,80,0.174687,1546.157,169.2278,0.012125,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-80,0.116071,1823.056,145.3267,0.006046,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-75,0.119697,1801.067,128.8737,0.005785,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-70,0.123096,1780.499,114.5925,0.005824,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-65,0.126535,1760.785,102.0203,0.006186,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-60,0.130266,1741.462,90.86311,0.006743,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-55,0.134379,1722.022,80.8018,0.00734,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-50,0.138825,1701.964,71.52412,0.00794,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-45,0.143576,1680.845,62.82618,0.008699,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-40,0.148928,1658.174,54.6919,0.009888,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-35,0.155476,1633.131,47.15971,0.011367,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-30,0.163234,1604.686,40.00766,0.012792,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-25,0.171896,1571.742,33.00167,0.015377,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,-20,0.182781,1531.667,26.26848,0.021002,P,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,20,0.120256,1822.361,15.59522,0.005773,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,25,0.123411,1799.578,21.32208,0.006116,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,30,0.126726,1778.582,27.86468,0.006481,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,35,0.130238,1758.48,35.32407,0.00691,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,40,0.134038,1738.68,43.84903,0.007433,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,45,0.138193,1718.678,53.62784,0.008032,C,64881510,SPX,9999,1,32768,,A,
108105,20130801,182,50,0.142694,1697.994,64.87102,0.008705,C,64881510,SPX,9999,1,32768,,A,
